,pair,clean,raw,name_type
18361,"[[Tooele, Tooele County, Utah Territory|Toille City]]","Tooele, Tooele County, Utah Territory",Toille City,place
18366,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",salt Lake City,place
18368,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18369,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18370,"[[John Taylor, b. 1808|Taylor]]","John Taylor, b. 1808",Taylor,place
18376,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] and [[Jedediah Morgan Grant|Jedediah M. Grant]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] and [[Jedediah Morgan Gra,place
18382,"[[Carthage Jail, Carthage, Hancock County, Illinois|Jail]] with [[Joseph Smith Jr.|Joseph]] & [[Hyrum Smith|Hiram]]","Carthage Jail, Carthage, Hancock County, Illinois",Jail]] with [[Joseph Smith J,place
18384,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City,place
18388,"[[Carthage Jail, Carthage, Hancock County, Illinois|Carthage Jail]]","Carthage Jail, Carthage, Hancock County, Illinois",Carthage Jail,place
18390,"[[John Taylor, b. 1808|Taylor]]","John Taylor, b. 1808",Taylor,place
18393,"[[Ezra Carter, b. 1773|Father]]","Ezra Carter, b. 1773",Father,place
18394,"[[Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Counsel House]]","Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Counsel House,place
18407,"[[Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Counsel House]] Elder [[Heber Chase Kimball|Kimball]] ^[[John Taylor, b. 1808|Taylor]]","Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Counsel House]] Elder [[Heber Chase Kimba,place
18409,"[[Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Counsel House]]","Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Counsel House,place
18414,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18415,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
18422,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
18430,"[[Montrose, Lee County, Iowa Territory|Montrose]]","Montrose, Lee County, Iowa Territory",Montrose,place
18431,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City of the Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City of the Great Salt Lake,place
18442,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City,place
18446,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18449,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18453,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
18454,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
18458,"[[Salt Lake City Temple, Great Salt Lake City, Great Salt Lake County, Utah Territory|Temple]]","Salt Lake City Temple, Great Salt Lake City, Great Salt Lake County, Utah Territory",Temple,place
18459,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City of the Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City of the Great Salt Lake,place
18462,"[[Rocky Mountains, United States|rocky mountains]]","Rocky Mountains, United States",rocky mountains,place
18464,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
18466,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
18469,"[[Aphek Woodruff, b. 1778|Woodruff]]","Aphek Woodruff, b. 1778",Woodruff,place
18471,"[[Little Cottonwood, Great Salt Lake County, Utah Territory|Little cottonwood]]","Little Cottonwood, Great Salt Lake County, Utah Territory",Little cottonwood,place
18472,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18475,"[[Emigration Canyon, Great Salt Lake County, Utah Territory|Emigration mountain]]","Emigration Canyon, Great Salt Lake County, Utah Territory",Emigration mountain,place
18476,"[[Aphek Woodruff, b. 1778|Father]]","Aphek Woodruff, b. 1778",Father,place
18479,"[[Harker's Canyon, West Valley City, Great Salt Lake County, Utah Territory|Harkers Canyon]]","Harker's Canyon, West Valley City, Great Salt Lake County, Utah Territory",Harkers Canyon,place
18484,"[[Salt Lake Valley, Utah Territory|valley]]","Salt Lake Valley, Utah Territory",valley,place
18493,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
18498,"[[John Taylor, b. 1808|John Taylor]] [[New York|New York]] [[Nathaniel Henry Felt|N. H. Felt]] d[itt]o [[Alexander Robbins|A Robins]] do [[Jeter Clinton|R Clinton]]","John Taylor, b. 1808",John Taylor]] [[New Yo,place
18502,"[[John Smith, b. 1832|John Smith]] the oldest son of [[Hyrum Smith|Hiram Smith]]","John Smith, b. 1832",John Smith]] the oldest son of [[Hyrum Smi,place
18506,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18510,"[[Little Cottonwood, Great Salt Lake County, Utah Territory|little Cotton wood]]","Little Cottonwood, Great Salt Lake County, Utah Territory",little Cotton wood,place
18512,"[[Kington Fort, Davis County, Utah Territory|South weber fort]]","Kington Fort, Davis County, Utah Territory",South weber fort,place
18514,"[[Kington Fort, Davis County, Utah Territory|fort]] Elder [[Thomas Kington|Kington]]","Kington Fort, Davis County, Utah Territory",fort]] Elder [[Thomas Kingt,place
18516,"[[Weber County, Utah Territory|webber]] & returned to [[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]] Mrs [[Phebe Whittemore Carter Woodruff|Woodruff]]","Weber County, Utah Territory","webber]] & returned to [[Great Salt Lake City, Great Salt Lake County, Utah Territo",place
18523,"[[Tooele, Tooele County, Utah Territory|Toille]]","Tooele, Tooele County, Utah Territory",Toille,place
18524,"[[Weber County, Utah Territory|webber]]","Weber County, Utah Territory",webber,place
18525,"[[Salt Lake Valley, Utah Territory|valley]]","Salt Lake Valley, Utah Territory",valley,place
18528,"[[Lehi, Utah County, Utah Territory|here]]","Lehi, Utah County, Utah Territory",here,place
18531,"[[Lehi, Utah County, Utah Territory|Lehi]]","Lehi, Utah County, Utah Territory",Lehi,place
18533,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18534,"[[Fort Harmony, Washington County, Utah Territory|Harmony]]","Fort Harmony, Washington County, Utah Territory",Harmony,place
18536,"[[Ozem Woodruff, b. 1787|Ozem Woodruff]] I wrote 2 letters to Ilus & [[John Milton Bernhisel|Bernhisel]]","Ozem Woodruff, b. 1787",Ozem Woodruff]] I wrote 2 letters to Ilus & [[John Milton Bernhis,place
18538,"[[John Taylor, b. 1808|J Taylor]] preached in the forenoon & [[Heber Chase Kimball|H C Kimbal]]","John Taylor, b. 1808",J Taylor]] preached in the forenoon & [[Heber Chase Kimba,place
18541,"[[Aphek Woodruff, b. 1778|Woodruff]]","Aphek Woodruff, b. 1778",Woodruff,place
18542,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18543,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Herriman]] with Mrs [[Phebe Whittemore Carter Woodruff|Woodruff]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Herriman]] with Mrs [[Phebe Whittemore Carter Woodru,place
18548,"[[Fort Herriman, Salt Lake County, Utah Territory|city]]","Fort Herriman, Salt Lake County, Utah Territory",city,place
18549,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|salt lake city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",salt lake city,place
18552,"[[Parowan, Iron County, Utah Territory|Parowan]]","Parowan, Iron County, Utah Territory",Parowan,place
18556,"[[Parowan, Iron County, Utah Territory|Parowan]] at 9 oclok & rode to [[Beaver, Beaver County, Utah Territory|Bever]]","Parowan, Iron County, Utah Territory","Parowan]] at 9 oclok & rode to [[Beaver, Beaver County, Utah Territo",place
18558,"[[Beaver, Beaver County, Utah Territory|Bever]]","Beaver, Beaver County, Utah Territory",Bever,place
18560,"[[Cove Creek, Beaver and Millard Counties, Utah Territory|Cove Creek]]","Cove Creek, Beaver and Millard Counties, Utah Territory",Cove Creek,place
18561,"[[Corn Creek, Millard County, Utah Territory|Corn Creek]]","Corn Creek, Millard County, Utah Territory",Corn Creek,place
18562,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
18567,"[[Sevier River, Utah Territory|severe]]","Sevier River, Utah Territory",severe,place
18568,"[[Sevier River, Utah Territory|severe]]","Sevier River, Utah Territory",severe,place
18569,"[[Salt Creek, Grand County, Utah Territory|salt creek]]","Salt Creek, Grand County, Utah Territory",salt creek,place
18570,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
18574,"[[Salt Creek, Grand County, Utah Territory|salt creek]]","Salt Creek, Grand County, Utah Territory",salt creek,place
18575,"[[Utah Lake, Utah County, Utah Territory|Utah lake]]","Utah Lake, Utah County, Utah Territory",Utah lake,place
18576,"[[Nephi, Juab County, Utah Territory|Nephi]]","Nephi, Juab County, Utah Territory",Nephi,place
18577,"[[Utah Lake, Utah County, Utah Territory|Utah Lake]]","Utah Lake, Utah County, Utah Territory",Utah Lake,place
18578,"[[Utah Lake, Utah County, Utah Territory|Lake]]","Utah Lake, Utah County, Utah Territory",Lake,place
18579,"[[Lehi, Utah County, Utah Territory|Lehi]]","Lehi, Utah County, Utah Territory",Lehi,place
18580,"[[Fort Harmony, Washington County, Utah Territory|fort Harmony]]","Fort Harmony, Washington County, Utah Territory",fort Harmony,place
18581,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18592,"[[Fort Harmony, Washington County, Utah Territory|fort Harmony]] [[Thomas Bullock|T Bullock]]","Fort Harmony, Washington County, Utah Territory",fort Harmony]] [[Thomas Bullo,place
18593,"[[Cedar City, Iron County, Utah Territory|Cedar City]]","Cedar City, Iron County, Utah Territory",Cedar City,place
18596,"[[Corn Creek, Millard County, Utah Territory|Corn Creek]]","Corn Creek, Millard County, Utah Territory",Corn Creek,place
18604,"[[Red Creek, Iron County, Utah Territory|red creek]]","Red Creek, Iron County, Utah Territory",red creek,place
18605,"[[Parowan, Iron County, Utah Territory|paroan]]","Parowan, Iron County, Utah Territory",paroan,place
18606,"[[John Taylor, b. 1808|Taylor]]","John Taylor, b. 1808",Taylor,place
18609,"[[Cedar City, Iron County, Utah Territory|Cedar City]]","Cedar City, Iron County, Utah Territory",Cedar City,place
18614,"[[Cedar City, Iron County, Utah Territory|Cedar City]]","Cedar City, Iron County, Utah Territory",Cedar City,place
18615,"[[Fort Harmony, Washington County, Utah Territory|fort Harmony]]","Fort Harmony, Washington County, Utah Territory",fort Harmony,place
18620,"[[Sevier River, Utah Territory|Severe]]","Sevier River, Utah Territory",Severe,place
18622,"[[Sevier River, Utah Territory|Severe]] & rode to [[Chicken Creek, Juab and Sanpete Counties, Utah Territory|Chicken Creek]]","Sevier River, Utah Territory","Severe]] & rode to [[Chicken Creek, Juab and Sanpete Counties, Utah Territo",place
18623,"[[Fillmore, Millard County, Utah Territory|Filmore City]]","Fillmore, Millard County, Utah Territory",Filmore City,place
18624,"[[Fillmore, Millard County, Utah Territory|Filmore]]","Fillmore, Millard County, Utah Territory",Filmore,place
18627,"[[John Taylor, b. 1808|John Taylor]] & followed by [[Heber Chase Kimball|H. C. Kimball]]","John Taylor, b. 1808",John Taylor]] & followed by [[Heber Chase Kimba,place
18632,"[[Nephi, Juab County, Utah Territory|Nephi City]]","Nephi, Juab County, Utah Territory",Nephi City,place
18634,"[[Chicken Creek, Juab and Sanpete Counties, Utah Territory|Chicken Creek]]","Chicken Creek, Juab and Sanpete Counties, Utah Territory",Chicken Creek,place
18643,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
18647,"[[Provo, Utah County, Utah Territory|Provo]] I spent the time with [[Alexander Williams|A Williams]]","Provo, Utah County, Utah Territory",Provo]] I spent the time with [[Alexander Willia,place
18648,"[[Springville, Utah County, Utah Territory|springvill]]","Springville, Utah County, Utah Territory",springvill,place
18653,"[[Payson, Utah County, Utah Territory|Pason]]","Payson, Utah County, Utah Territory",Pason,place
18656,"[[John Taylor, b. 1808|Taylor]]","John Taylor, b. 1808",Taylor,place
18659,"[[Pleasant Grove, Utah County, Utah Territory|settlement]]","Pleasant Grove, Utah County, Utah Territory",settlement,place
18661,"[[Jackson County, Missouri|Jackson Co]]","Jackson County, Missouri",Jackson Co,place
18664,"[[American Fork, Utah County, Utah Territory|city]]","American Fork, Utah County, Utah Territory",city,place
18667,"[[Pleasant Grove, Utah County, Utah Territory|Battle Creek]] 3 mils^ [[Provo, Utah County, Utah Territory|provo]]","Pleasant Grove, Utah County, Utah Territory","Battle Creek]] 3 mils^ [[Provo, Utah County, Utah Territo",place
18670,"[[Lehi, Utah County, Utah Territory|dry creek]]","Lehi, Utah County, Utah Territory",dry creek,place
18671,"[[American Fork, Utah County, Utah Territory|American fork]]","American Fork, Utah County, Utah Territory",American fork,place
18680,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18688,"[[Iron County, Utah Territory|Iron County]]","Iron County, Utah Territory",Iron County,place
18692,"[[John Taylor, b. 1808|J. Taylor]] [[George Albert Smith|G. A. Smith]] & [[Erastus Snow|E Snow]]","John Taylor, b. 1808",J. Taylor]] [[George Albert Smi,place
18696,"[[Ezra Carter, b. 1804|Carter]]","Ezra Carter, b. 1804",Carter,place
18700,"[[John Smith, b. 1781|John Smith]]","John Smith, b. 1781",John Smith,place
18702,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]. Prayer by Elder [[Orson Hyde|Hyde]]. [[Lorenzo Snow|Lorenzo Snow]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]]. Prayer by Elder [[Orson Hy,place
18708,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
18710,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18716,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18718,"[[John Neff, b. 1794|John Neff]]","John Neff, b. 1794",John Neff,place
18724,"[[Cincinnati, Hamilton County, Ohio|Cincinnati]]","Cincinnati, Hamilton County, Ohio",Cincinnati,place
18729,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18731,"[[San Jose, Santa Clara County, California|San Jose]], [[Orson Pratt|O Pratt]] & [[Orson Spencer|O Spencer]] to [[Cincinnati, Hamilton County, Ohio|Cincinnati]]","San Jose, Santa Clara County, California","San Jose]], [[Orson Pra",place
18743,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18747,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
18761,"[[Ozem Woodruff, b. 1787|Ozem]]","Ozem Woodruff, b. 1787",Ozem,place
18770,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18780,"[[John Smith, b. 1832|Him]]","John Smith, b. 1832",Him,place
18784,"[[Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory|council House]]","Council House, Great Salt Lake City, Great Salt Lake County, Utah Territory",council House,place
18790,"[[John Smith, b. 1832|John]]","John Smith, b. 1832",John,place
18791,"[[John Smith, b. 1832|Smith]] the son of [[Hyrum Smith|Hiram Smith]]","John Smith, b. 1832",Smith]] the son of [[Hyrum Smi,place
18794,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City,place
18797,"[[Ozem Thompson Woodruff, b. 1804|Thompson Woodruff]]","Ozem Thompson Woodruff, b. 1804",Thompson Woodruff,place
18799,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City,place
18800,"[[Laramie, unorganized U.S. Territory|Laramie]]","Laramie, unorganized U.S. Territory",Laramie,place
18802,"[[Kington Fort, Davis County, Utah Territory|south webber]] & spent the night at Brother [[Thomas Kington|Kingtons]]","Kington Fort, Davis County, Utah Territory",south webber]] & spent the night at Brother [[Thomas Kingt,place
18803,"[[Kington Fort, Davis County, Utah Territory|fort]]","Kington Fort, Davis County, Utah Territory",fort,place
18805,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city of the salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city of the salt Lake,place
18807,"[[John Taylor, b. 1808|John Taylor]] [[Orson Spencer|Orson Spencer]] [[Ezra Taft Benson|Ezra T. Benson]]","John Taylor, b. 1808",John Taylor]] [[Orson Spenc,place
18823,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18839,"[[Montrose, Lee County, Iowa Territory|Montrose]]","Montrose, Lee County, Iowa Territory",Montrose,place
18845,"[[Farmington, Davis County, Utah Territory|Farmington]] & rode Home to the [[Great Salt Lake City, Great Salt Lake County, Utah Territory|salt Lake City]]","Farmington, Davis County, Utah Territory","Farmington]] & rode Home to the [[Great Salt Lake City, Great Salt Lake County, Utah Territo",place
18847,"[[San Bernardino, San Bernardino County, California|San Barnadino]]","San Bernardino, San Bernardino County, California",San Barnadino,place
18852,"[[Great Salt Lake County, Utah Territory|Great Salt Lake County]] [[Albert Carrington|Albert Carrington]]","Great Salt Lake County, Utah Territory",Great Salt Lake County]] [[Albert Carringt,place
18853,"[[Utah County, Utah Territory|Utah County]] [[Leonard Ellsworth Harrington|Leonard E Harrington]] [[Aaron Johnson|Aaron Johnson]]","Utah County, Utah Territory",Utah County]] [[Leonard Ellsworth Harringt,place
18854,"[[Sanpete County, Utah Territory|Sanpete County]] [[Isaac Morley|Isaac Morley]]","Sanpete County, Utah Territory",Sanpete County]] [[Isaac Morl,place
18855,"[[Millard County, Utah Territory|Millard County]] [[John A. Ray|John A Ray]]","Millard County, Utah Territory",Millard County]] [[John A. R,place
18856,"[[Iron County, Utah Territory|Iron County]] [[George Albert Smith|George A. Smith]]","Iron County, Utah Territory",Iron County]] [[George Albert Smi,place
18857,"[[Weber County, Utah Territory|Weber County]] [[Lorin Farr|Loran Farr]] [[Erastus Bingham Sr.|Erastus Bingham]]","Weber County, Utah Territory",Weber County]] [[Lorin Fa,place
18858,"[[Davis County, Utah Territory|Davis County]] [[Thomas Sasson Smith|Thomas S. Smith]]","Davis County, Utah Territory",Davis County]] [[Thomas Sasson Smi,place
18864,"[[William Jones, Foreman|Wm Jones]]","William Jones, Foreman",Wm Jones,place
18866,"[[Weber River, Utah Territory|webber River]]. [[Bingham's Fort, Weber County, Utah Territory|Bingham fort]]","Weber River, Utah Territory","webber River]]. [[Bingham's Fort, Weber County, Utah Territo",place
18867,"[[Ogden, Weber County, Utah Territory|Ogden]]","Ogden, Weber County, Utah Territory",Ogden,place
18869,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
18870,"[[Willow Creek, Grand and Uintah Counties, Utah Territory|Willow Creek]]","Willow Creek, Grand and Uintah Counties, Utah Territory",Willow Creek,place
18873,"[[Ogden, Weber County, Utah Territory|Ogden City]]","Ogden, Weber County, Utah Territory",Ogden City,place
18874,"[[Box Elder County, Utah Territory|Box Elder]]","Box Elder County, Utah Territory",Box Elder,place
18877,"[[Kington Fort, Davis County, Utah Territory|south webber fort]]","Kington Fort, Davis County, Utah Territory",south webber fort,place
18879,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
18884,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18886,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
18891,"[[Kington Fort, Davis County, Utah Territory|south webber]]","Kington Fort, Davis County, Utah Territory",south webber,place
18894,"[[North Weber, Davis County, Utah Territory|North Webber]]","North Weber, Davis County, Utah Territory",North Webber,place
18896,"[[Ogden, Weber County, Utah Territory|Ogden]]","Ogden, Weber County, Utah Territory",Ogden,place
18898,"[[Bingham's Fort, Weber County, Utah Territory|Binghams Fort]]","Bingham's Fort, Weber County, Utah Territory",Binghams Fort,place
18903,"[[Kington Fort, Davis County, Utah Territory|south Webber Fort]]","Kington Fort, Davis County, Utah Territory",south Webber Fort,place
18907,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",salt Lake City,place
18920,"[[Harker's Canyon, West Valley City, Great Salt Lake County, Utah Territory|canyon]]","Harker's Canyon, West Valley City, Great Salt Lake County, Utah Territory",canyon,place
18921,"[[Harker's Canyon, West Valley City, Great Salt Lake County, Utah Territory|Harkers Canyon]]","Harker's Canyon, West Valley City, Great Salt Lake County, Utah Territory",Harkers Canyon,place
18922,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18924,"[[Dry Creek Canyon, Utah County, Utah Territory|dry creek canyon]]","Dry Creek Canyon, Utah County, Utah Territory",dry creek canyon,place
18926,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18942,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
18946,"[[Utah County, Utah Territory|Utah Co]] 1: [[Juab County, Utah Territory|Juab]] [[Sanpete County, Utah Territory|Sanpete]], & [[Millard County, Utah Territory|Millard Co[un]ties]]","Utah County, Utah Territory","Utah Co]] 1: [[Juab County, Utah Territo",place
18947,"[[Iron County, Utah Territory|Iron]] & [[Washington County, Utah Territory|Washington Co]] 3. [[Davis County, Utah Territory|Davis Co]] 4. [[Weber County, Utah Territory|Webber Co]]","Iron County, Utah Territory","Iron]] & [[Washington County, Utah Territo",place
18948,"[[Great Salt Lake County, Utah Territory|Salt Lake]] & [[Tooele County, Utah Territory|Tooele Co.]]","Great Salt Lake County, Utah Territory","Salt Lake]] & [[Tooele County, Utah Territo",place
18953,"[[Farmington, Davis County, Utah Territory|Farmington]]","Farmington, Davis County, Utah Territory",Farmington,place
18969,"[[Provo River, Utah and Wasatch Counties, Utah Territory|provo]]","Provo River, Utah and Wasatch Counties, Utah Territory",provo,place
18970,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city of the Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city of the Great Salt Lake,place
18971,"[[Provo River, Utah and Wasatch Counties, Utah Territory|provo]]","Provo River, Utah and Wasatch Counties, Utah Territory",provo,place
18977,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city,place
18981,"[[Salt Lake Valley, Utah Territory|valley]]","Salt Lake Valley, Utah Territory",valley,place
18985,"[[Washington, D.C., United States|washington]]","Washington, D.C., United States",washington,place
18986,"[[Ozem Thompson Woodruff, b. 1804|Thompson Woodruff]]","Ozem Thompson Woodruff, b. 1804",Thompson Woodruff,place
18988,"[[Great Salt Lake, Utah Territory|salt lake]]","Great Salt Lake, Utah Territory",salt lake,place
18992,"[[Willow Creek, Grand and Uintah Counties, Utah Territory|willow creek]]","Willow Creek, Grand and Uintah Counties, Utah Territory",willow creek,place
18993,"[[Lehi, Utah County, Utah Territory|Lehi]] Dined with Brother [[Abiah Wadsworth|Wadsworth]]","Lehi, Utah County, Utah Territory",Lehi]] Dined with Brother [[Abiah Wadswor,place
18994,"[[Battle Creek, Utah County, Utah Territory|Battle Creek]] [[Spanish Fork, Utah County, Utah Territory|spanish fork]]","Battle Creek, Utah County, Utah Territory","Battle Creek]] [[Spanish Fork, Utah County, Utah Territo",place
18995,"[[Provo River, Utah and Wasatch Counties, Utah Territory|Provo river]]","Provo River, Utah and Wasatch Counties, Utah Territory",Provo river,place
18996,"[[Provo River, Utah and Wasatch Counties, Utah Territory|provo]]","Provo River, Utah and Wasatch Counties, Utah Territory",provo,place
19007,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
19009,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
19021,"[[Lake City, Utah County, Utah Territory|Lake City]]","Lake City, Utah County, Utah Territory",Lake City,place
19023,"[[Lehi, Utah County, Utah Territory|Lehi]]","Lehi, Utah County, Utah Territory",Lehi,place
19024,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",salt Lake City,place
19025,"[[Provo, Utah County, Utah Territory|Provo]]","Provo, Utah County, Utah Territory",Provo,place
19026,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
19027,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]] Brother [[Heber Chase Kimball|Kimball]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle]] Brother [[Heber Chase Kimba,place
19030,"[[Springville, Utah County, Utah Territory|Springville]]","Springville, Utah County, Utah Territory",Springville,place
19034,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",tabernacle,place
19035,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|city of the Great Salt Lake]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",city of the Great Salt Lake,place
